,loss,method,ndcg@10,dcg@10,map,auc,gamma
0,logloss,loss,0.2507743497301838,0.2507743497301838,0.057546587234910705,0.5274841382692737,1.0
1,logloss,auc,0.4978126360345514,0.4978126360345514,0.14120278381958296,0.719419083026601,1.0
2,logloss,ndcg@10,0.4978126360345514,0.4978126360345514,0.14120278381958296,0.719419083026601,1.0
3,logloss,dcg@10,0.4978126360345514,0.4978126360345514,0.14120278381958296,0.719419083026601,1.0
4,logloss,map,0.4978126360345514,0.4978126360345514,0.14120278381958296,0.719419083026601,1.0
5,ranknet,loss,0.5775870654033071,0.5775870654033071,0.2961783677248669,0.8182915731515905,1.0
6,ranknet,auc,0.5775870654033071,0.5775870654033071,0.2961783677248669,0.8182915731515905,1.0
7,ranknet,ndcg@10,0.5775870654033071,0.5775870654033071,0.2961783677248669,0.8182915731515905,1.0
8,ranknet,dcg@10,0.5775870654033071,0.5775870654033071,0.2961783677248669,0.8182915731515905,1.0
9,ranknet,map,0.5775870654033071,0.5775870654033071,0.2961783677248669,0.8182915731515905,1.0
10,sym_logloss,loss,0.3270513036979116,0.3270513036979116,0.06082935843121871,0.5475825477811579,1.0
11,sym_logloss,auc,0.29988162407178665,0.29988162407178665,0.06191544593161587,0.5506803191567878,1.0
12,sym_logloss,ndcg@10,0.3270513036979116,0.3270513036979116,0.06082935843121871,0.5475825477811579,1.0
13,sym_logloss,dcg@10,0.3270513036979116,0.3270513036979116,0.06082935843121871,0.5475825477811579,1.0
14,sym_logloss,map,0.304410131204461,0.304410131204461,0.061746368296464405,0.5505415436081325,1.0
15,sym_ranknet,loss,0.5842132996179675,0.5842132996179675,0.30424916861553586,0.830391946457514,1.0
16,sym_ranknet,auc,0.5842132996179675,0.5842132996179675,0.30424916861553586,0.830391946457514,1.0
17,sym_ranknet,ndcg@10,0.5842132996179675,0.5842132996179675,0.30424916861553586,0.830391946457514,1.0
18,sym_ranknet,dcg@10,0.5842132996179675,0.5842132996179675,0.30424916861553586,0.830391946457514,1.0
19,sym_ranknet,map,0.5842132996179675,0.5842132996179675,0.30424916861553586,0.830391946457514,1.0
20,logloss,loss,0.24798494940781476,0.24798494940781476,0.057135557561655614,0.525546939463591,0.9
21,logloss,auc,0.45573275860719603,0.45573275860719603,0.1250218349092634,0.693643166843579,0.9
22,logloss,ndcg@10,0.45573275860719603,0.45573275860719603,0.1250218349092634,0.693643166843579,0.9
23,logloss,dcg@10,0.45573275860719603,0.45573275860719603,0.1250218349092634,0.693643166843579,0.9
24,logloss,map,0.45573275860719603,0.45573275860719603,0.1250218349092634,0.693643166843579,0.9
25,ranknet,loss,0.3975441771593915,0.3975441771593915,0.11994296064864995,0.6739459966590619,0.9
26,ranknet,auc,0.4869155216853148,0.4869155216853148,0.17937165906105637,0.7431637642569011,0.9
27,ranknet,ndcg@10,0.4869155216853148,0.4869155216853148,0.17937165906105637,0.7431637642569011,0.9
28,ranknet,dcg@10,0.4869155216853148,0.4869155216853148,0.17937165906105637,0.7431637642569011,0.9
29,ranknet,map,0.4869155216853148,0.4869155216853148,0.17937165906105637,0.7431637642569011,0.9
30,sym_logloss,loss,0.34614644401092065,0.34614644401092065,0.06346801658641822,0.5598388282578164,0.9
31,sym_logloss,auc,0.32142162304634797,0.32142162304634797,0.06421348821436997,0.5614844222157432,0.9
32,sym_logloss,ndcg@10,0.34614644401092065,0.34614644401092065,0.06346801658641822,0.5598388282578164,0.9
33,sym_logloss,dcg@10,0.34614644401092065,0.34614644401092065,0.06346801658641822,0.5598388282578164,0.9
34,sym_logloss,map,0.31493746355296803,0.31493746355296803,0.06428371114728892,0.5613844225300391,0.9
35,sym_ranknet,loss,0.5043155733377794,0.5043155733377794,0.19324183916624973,0.7602166369145522,0.9
