,loss,method,ndcg@10,dcg@10,map,auc,gamma
0,logloss,loss,0.7058101147575558,2.2320535803641435,0.6622621808535629,0.680562158025128,1.0
1,logloss,auc,0.76425447175038,2.35292761692647,0.7343410223141659,0.7733968432468983,1.0
2,logloss,ndcg@10,0.749193176348527,2.3249298881572695,0.7351442090607281,0.7560822418906115,1.0
3,logloss,dcg@10,0.7703820278202937,2.377881329848191,0.7772667028348128,0.7990383484779569,1.0
4,logloss,map,0.7679315996412567,2.372191037308359,0.7789054283939736,0.801476124701259,1.0
5,ranknet,loss,0.7160551641897474,2.2568785805480807,0.6697412973721178,0.6876817583005167,1.0
6,ranknet,auc,0.7658848039442975,2.35548061864155,0.7802902078272432,0.793189055899945,1.0
7,ranknet,ndcg@10,0.7692786213953334,2.3639222457708216,0.7842010683053,0.7971834044464062,1.0
8,ranknet,dcg@10,0.7174358610568652,2.262245168136497,0.6535608418601415,0.6733569365374215,1.0
9,ranknet,map,0.7658848039442975,2.35548061864155,0.7802902078272432,0.793189055899945,1.0
10,sym_logloss,loss,0.7526442439824954,2.3282374501637095,0.703861805465637,0.7304838389887595,1.0
11,sym_logloss,auc,0.7428373866072122,2.3109033509711314,0.6888632649368842,0.7172377474057628,1.0
12,sym_logloss,ndcg@10,0.717885181330368,2.269200786662359,0.6893414961094971,0.7117498623582128,1.0
13,sym_logloss,dcg@10,0.717885181330368,2.269200786662359,0.6893414961094971,0.7117498623582128,1.0
14,sym_logloss,map,0.7461420421725852,2.314941998627784,0.6977189005534745,0.7248254044701937,1.0
15,sym_ranknet,loss,0.7431531288335225,2.3323639333826014,0.7616103200534805,0.7754650429916624,1.0
16,sym_ranknet,auc,0.7439939244226036,2.3355390513101546,0.7620987583936998,0.7767488947965817,1.0
17,sym_ranknet,ndcg@10,0.7447437301365107,2.316403678662767,0.7254701457936218,0.7440841864468746,1.0
18,sym_ranknet,dcg@10,0.7548504936637481,2.346185507764784,0.7787655441481806,0.7953766909685802,1.0
19,sym_ranknet,map,0.7192288171892062,2.2681370630529063,0.7127091138856677,0.7295741294364256,1.0
20,logloss,loss,0.6945937725856076,2.210291570590245,0.5427813149612067,0.55534942418592,0.9
21,logloss,auc,0.7222483848541007,2.2718927508314084,0.6424955866056223,0.6685592494069129,0.9
22,logloss,ndcg@10,0.7285017822769316,2.278425443135143,0.6573497844898308,0.6854978107083747,0.9
23,logloss,dcg@10,0.7285017822769316,2.278425443135143,0.6573497844898308,0.6854978107083747,0.9
24,logloss,map,0.7283394679671125,2.278333479826986,0.6563774524205482,0.6848302231466329,0.9
25,ranknet,loss,0.6919577389271981,2.176208818266248,0.5165527832393547,0.5312498241398127,0.9
26,ranknet,auc,0.748869427492668,2.305353000164591,0.682971868618995,0.7096343489437702,0.9
27,ranknet,ndcg@10,0.7174747939760381,2.2589174840211967,0.6283565478113246,0.6587815367515851,0.9
28,ranknet,dcg@10,0.7075016097044526,2.227184698742729,0.5534254632464888,0.55790130317393,0.9
29,ranknet,map,0.7174747939760381,2.2589174840211967,0.6283565478113246,0.6587815367515851,0.9
30,sym_logloss,loss,0.7463349462039005,2.300013693330443,0.689269237668524,0.7064019895551816,0.9
31,sym_logloss,auc,0.7386409817574939,2.2904686286944753,0.6777928854098698,0.6990330479779624,0.9
32,sym_logloss,ndcg@10,0.7059730807931587,2.2453197017212823,0.6154442035328798,0.6360304130026297,0.9
33,sym_logloss,dcg@10,0.7065684737253313,2.2295172983576874,0.5484454595980915,0.5518029036327927,0.9
34,sym_logloss,map,0.705847136381359,2.230872257320009,0.5631795777272244,0.566956249611019,0.9
35,sym_ranknet,loss,0.7268946733149736,2.280176358988646,0.6903721353025136,0.7083177512197102,0.9
36,sym_ranknet,auc,0.7289946100930267,2.2858602994460355,0.6930634044641284,0.7104829048216506,0.9
37,sym_ranknet,ndcg@10,0.6956321464898992,2.2158118053995106,0.6334138544462802,0.6686682844921361,0.9
38,sym_ranknet,dcg@10,0.705743015462106,2.224570499455068,0.5466575684761221,0.5502695837656566,0.9
